station,area_park,len_cycle_path,len_major_road,len_minor_road,num_metro_stations,num_other_commercial,num_restuarants,num_university,num_pop,num_bus_stations,num_bus_routes,walkscore,capacity
6039 - McGill / des Récollets,0.0,0.11327024475540244,0.0,0.2895100021361745,0.0,0.22077922077922077,0.32432432432432434,0.0,0.09249354018156183,0.07142857142857142,0.11538461538461539,0.9130434782608695,0.0851063829787234
6040 - St-Jacques / St-Pierre,0.0,0.11843237329244505,0.08631833189572415,0.562071264242431,0.0,0.37662337662337664,0.7567567567567568,0.0,0.08270168547447025,0.0,0.0,0.9239130434782609,0.1276595744680851
6041 - St-Jacques / McGill,0.0,0.22603996199786222,0.02961884158333776,0.1879833253666918,0.25,0.07792207792207792,0.40540540540540543,0.0,0.0017998528294410905,0.07142857142857142,0.11538461538461539,0.8804347826086957,0.2127659574468085
6042 - de la Gauchetière / Robert-Bourassa,0.0,0.0,0.43074662517478446,0.28752887225390267,0.0,0.05194805194805195,0.16216216216216217,0.0,0.0,0.14285714285714285,0.2692307692307692,0.9239130434782609,0.1702127659574468
6043 - Square Victoria (Viger / du Square-Victoria),0.0,0.2395284512922231,0.3852643199530973,0.563445000137705,0.5,0.11688311688311688,0.2702702702702703,0.0,0.14443513195475963,0.14285714285714285,0.23076923076923078,0.9565217391304348,0.0851063829787234
6044 - Roy / St-André,0.0,0.0,0.0,0.506574745031381,0.0,0.03896103896103896,0.08108108108108109,0.0,0.2651776226065283,0.0,0.0,0.9456521739130435,0.1276595744680851
6046 - Métro Bonaventure (de la Gauchetière / de la Cathédrale),0.011108354342802147,0.0,0.08525016875747615,0.2533058889136676,0.25,0.07792207792207792,0.05405405405405406,0.0,0.0016518673552156629,0.14285714285714285,0.19230769230769232,0.9456521739130435,0.3829787234042553
6047 - University / Prince-Arthur,0.036360021265042834,0.03993792550702995,0.15443606290500309,0.05175791666223666,0.0,0.0,0.0,0.0,0.08252391911371154,0.03571428571428571,0.07692307692307693,0.9130434782608695,0.2978723404255319
6048 - William / St-Henri,0.0,0.20853517099806665,0.0,0.2968165516817061,0.0,0.07792207792207792,0.02702702702702703,0.0,0.059332204233371516,0.0,0.0,0.9130434782608695,0.0851063829787234
6049 - Queen / Wellington,0.0,0.26875775811849717,0.12327926962920598,0.33940018536473315,0.0,0.05194805194805195,0.10810810810810811,0.0,0.1198474483115203,0.17857142857142858,0.23076923076923078,0.8804347826086957,0.3829787234042553
6050 - St-Maurice / Robert-Bourassa,0.0,0.0,0.45645108024536984,0.5953997074400218,0.0,0.03896103896103896,0.02702702702702703,0.0,0.012275790306505873,0.10714285714285714,0.07692307692307693,0.8913043478260869,0.2978723404255319
6051 - de Gaspé / Marmier,0.0,0.16325709051885887,0.12494151692597029,0.5330375302765854,0.0,0.025974025974025976,0.0,0.0,0.06438869021989659,0.0,0.0,0.8260869565217391,0.11702127659574468
6052 - de la Commune / King,0.006660729429620408,0.22164610499666093,0.11653109348761614,0.14415551006743005,0.0,0.03896103896103896,0.02702702702702703,0.0,0.08638975508018602,0.10714285714285714,0.07692307692307693,0.8586956521739131,1.0
6053 - du Président-Kennedy / Jeanne-Mance,0.0,0.1903087855840653,0.12013860584149107,0.39607326337149124,1.0,0.18181818181818182,0.21621621621621623,0.0,0.08983965454560415,0.42857142857142855,0.4230769230769231,1.0,0.1702127659574468
6057 - Peel / de la Gauchetiere,0.03353799357410834,0.0,0.30849465102127516,0.1726140442086978,0.25,0.05194805194805195,0.05405405405405406,0.0,0.0008401475728571766,0.14285714285714285,0.11538461538461539,0.9456521739130435,0.0851063829787234
6058 - Cypress / Peel,0.026242620150109853,0.0,0.18818157754603262,0.1516648398000837,0.0,0.14285714285714285,0.5405405405405406,0.0,0.002554158437563879,0.10714285714285714,0.46153846153846156,0.967391304347826,0.1276595744680851
